Date,Open,High,Low,Close,Adj Close,Volume
2017-04-13,13.07,13.17,13.03,13.05,13.05,64200
2017-04-17,13.16,13.22,13.16,13.19,13.19,94300
2017-04-18,13.16,13.17,13.14,13.15,13.15,68700
2017-04-19,13.28,13.28,13.21,13.24,13.24,47900
2017-04-20,13.09,13.15,13.09,13.11,13.11,68500
2017-04-21,13.17,13.24,13.17,13.18,13.18,92700
2017-04-24,13.33,13.37,13.16,13.31,13.31,124600
2017-04-25,13.04,13.14,13.01,13.05,13.05,90500
2017-04-26,12.88,12.92,12.88,12.91,12.91,68500
2017-04-27,12.89,12.9,12.85,12.89,12.89,46600
2017-04-28,13.22,13.24,13.21,13.24,13.24,54800
2017-05-01,13.19,13.3,13.19,13.27,13.27,43500
2017-05-02,13.26,13.26,13.12,13.18,13.18,67200
2017-05-03,13.15,13.21,13.12,13.17,13.17,99300
2017-05-04,13.28,13.28,13.14,13.18,13.18,108700
2017-05-05,13.18,13.24,13.18,13.23,13.23,81000
2017-05-08,13.27,13.35,13.27,13.29,13.29,97200
2017-05-09,13.22,13.28,13.22,13.26,13.26,95700
2017-05-10,13.16,13.36,13.16,13.31,13.31,46300
2017-05-11,13.46,14.1,13.4,13.78,13.78,241800
2017-05-12,13.48,13.59,13.48,13.59,13.59,368600
2017-05-15,13.61,13.68,13.6,13.65,13.65,74800
2017-05-16,13.62,13.66,13.58,13.64,13.64,146900
2017-05-17,13.69,13.69,13.62,13.63,13.63,89200
2017-05-18,13.6,13.7,13.6,13.68,13.68,103300
2017-05-19,13.72,13.81,13.7,13.76,13.76,64500
2017-05-22,13.76,13.81,13.65,13.8,13.8,61900
2017-05-23,13.77,13.8,13.74,13.75,13.75,50200
2017-05-24,13.61,13.61,13.53,13.54,13.54,115600
2017-05-25,13.62,13.81,13.62,13.77,13.77,106800
2017-05-26,13.7,13.81,13.69,13.73,13.73,113500
2017-05-30,13.73,13.82,13.59,13.71,13.71,269700
2017-05-31,13.77,13.93,13.77,13.87,13.87,217300
2017-06-01,13.77,13.9,13.77,13.77,13.77,49800
2017-06-02,13.84,14.0,13.84,14.0,14.0,53600
2017-06-05,13.97,13.97,13.77,13.87,13.87,45400
2017-06-06,13.87,13.87,13.8,13.86,13.86,65300
2017-06-07,13.72,13.84,13.72,13.77,13.77,60500
2017-06-08,13.78,13.78,13.6,13.66,13.66,56100
2017-06-09,13.58,13.6,13.52,13.59,13.59,90200
2017-06-12,13.53,13.66,13.53,13.65,13.65,129900
2017-06-13,13.74,13.76,13.69,13.76,13.76,33300
2017-06-14,13.7,13.72,13.65,13.67,13.67,68000
2017-06-15,13.54,13.59,13.52,13.59,13.59,80300
2017-06-16,13.74,13.78,13.71,13.78,13.78,71000
2017-06-19,13.77,13.86,13.77,13.82,13.82,59700
2017-06-20,13.8,13.86,13.78,13.85,13.85,66700
2017-06-21,13.76,13.76,13.69,13.76,13.76,56800
2017-06-22,13.6,13.63,13.54,13.58,13.58,78900
2017-06-23,13.52,13.59,13.51,13.54,13.54,49700
2017-06-26,13.51,13.51,13.4,13.41,13.41,98000
2017-06-27,13.29,13.36,13.25,13.28,13.28,52100
2017-06-28,13.24,13.34,13.24,13.34,13.34,90600
2017-06-29,13.18,13.25,13.18,13.23,13.23,101200
2017-06-30,13.25,13.27,13.16,13.18,13.18,81700
2017-07-03,13.13,13.22,13.13,13.18,13.18,28400
2017-07-05,13.28,13.29,13.17,13.29,13.29,58800
2017-07-06,13.26,13.26,13.2,13.23,13.23,448800
2017-07-07,13.15,13.16,13.05,13.05,13.05,156800
2017-07-10,12.78,12.78,12.7,12.75,12.75,133800
2017-07-11,12.8,12.81,12.75,12.8,12.8,69500
2017-07-12,12.81,12.9,12.81,12.89,12.89,87400
2017-07-13,12.89,12.92,12.85,12.92,12.92,54800
2017-07-14,12.82,12.96,12.79,12.95,12.95,48000
2017-07-17,12.79,12.95,12.79,12.89,12.89,68100
2017-07-18,12.97,12.99,12.93,12.97,12.97,187900
2017-07-19,12.92,13.07,12.92,13.07,13.07,99700
2017-07-20,13.15,13.15,13.04,13.13,13.13,65800
2017-07-21,13.09,13.1,13.01,13.09,13.09,55700
2017-07-24,13.04,13.06,12.96,13.02,13.02,190800
2017-07-25,12.83,12.87,12.8,12.86,12.86,85600
2017-07-26,12.84,12.92,12.84,12.91,12.91,107700
2017-07-27,12.91,13.08,12.91,13.08,13.08,108400
2017-07-28,13.12,13.19,13.04,13.18,13.18,56400
2017-07-31,13.13,13.24,13.11,13.22,13.22,37700
2017-08-01,13.45,13.69,13.43,13.58,13.58,68700
