Date,Open,High,Low,Close,Adj Close,Volume
2017-04-13,8.48,8.53,8.43,8.49,8.49,202900
2017-04-17,8.52,8.63,8.51,8.62,8.62,65300
2017-04-18,8.32,8.42,8.27,8.4,8.4,56900
2017-04-19,8.28,8.43,8.27,8.43,8.43,53200
2017-04-20,8.51,8.55,8.47,8.51,8.51,69800
2017-04-21,8.43,8.62,8.4,8.46,8.46,68000
2017-04-24,8.84,9.0,8.82,8.92,8.92,79100
2017-04-25,9.06,9.14,9.02,9.09,9.09,93800
2017-04-26,9.02,9.05,8.98,9.0,9.0,53700
2017-04-27,8.94,8.97,8.88,8.95,8.95,27800
2017-04-28,8.83,8.91,8.83,8.9,8.9,16000
2017-05-01,8.96,8.96,8.86,8.95,8.95,49800
2017-05-02,8.99,9.13,8.98,9.13,9.13,40500
2017-05-03,9.05,9.13,8.98,9.03,9.03,32900
2017-05-04,9.03,9.52,9.03,9.44,9.44,50900
2017-05-05,9.77,9.79,9.64,9.75,9.75,87600
2017-05-08,9.58,9.74,9.55,9.72,9.72,63500
2017-05-09,9.7,9.77,9.65,9.75,9.75,117700
2017-05-10,9.63,9.66,9.56,9.63,9.63,270400
2017-05-11,9.57,9.68,9.56,9.66,9.66,1383800
2017-05-12,9.86,9.97,9.84,9.93,9.93,80500
2017-05-15,9.86,9.97,9.85,9.96,9.96,99500
2017-05-16,10.13,10.2,9.95,10.17,10.17,94000
2017-05-17,9.98,10.05,9.92,10.02,10.02,105800
2017-05-18,9.6,9.84,9.59,9.8,9.8,124500
2017-05-19,9.84,9.97,9.84,9.96,9.96,142500
2017-05-22,9.91,9.93,9.8,9.88,9.88,73300
2017-05-23,9.86,9.86,9.62,9.68,9.68,96600
2017-05-24,9.55,9.76,9.53,9.76,9.76,72000
2017-05-25,9.69,9.78,9.67,9.77,9.77,35600
2017-05-26,9.61,9.69,9.57,9.67,9.67,38600
2017-05-30,9.38,9.41,9.32,9.38,9.38,158000
2017-05-31,9.44,9.53,9.36,9.46,9.46,72900
2017-06-01,9.5,9.5,9.4,9.47,9.47,48900
2017-06-02,9.47,9.57,9.43,9.56,9.56,63700
2017-06-05,9.33,9.44,9.28,9.42,9.42,50100
2017-06-06,9.38,9.41,9.33,9.39,9.39,24500
2017-06-07,9.5,9.5,9.35,9.36,9.36,38000
2017-06-08,9.43,9.46,9.35,9.43,9.43,27000
